date,account_dict,total_value,end_of_day_save
2023-08-01 22:11:14.287319,"{""account_number"": ""5"", ""money"": 0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_5.csv"", ""stocks"": []}",0.0,0
2023-08-01 22:11:14.287567,"{""account_number"": ""5"", ""money"": 10000, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_5.csv"", ""stocks"": []}",0.0,0
2023-08-01 22:11:14.289606,"{""account_number"": ""5"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 222.41993335479384, ""buy_price"": 44.959999084472656, ""sell_price"": null, ""all_time_peak"": 0, ""last_high"": 0, ""last_low"": 0, ""trend"": null, ""last_price"": 44.959999084472656, ""transaction_file"": null, ""account_file"": null, ""new_high"": 44.959999084472656, ""new_low"": 44.959999084472656}]}",0.0,0
2023-08-01 23:18:47.812752,"{""account_number"": ""5"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 222.41993335479384, ""buy_price"": 44.959999084472656, ""sell_price"": null, ""all_time_peak"": 0, ""last_high"": 0, ""last_low"": 0, ""trend"": null, ""last_price"": 44.959999084472656, ""transaction_file"": null, ""account_file"": null, ""new_high"": 44.959999084472656, ""new_low"": 44.959999084472656}]}",0.0,0
2023-08-02 05:00:59.960403,"{""account_number"": ""5"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 222.41993335479384, ""buy_price"": 44.959999084472656, ""sell_price"": null, ""all_time_peak"": 0, ""last_high"": 0, ""last_low"": 0, ""trend"": null, ""last_price"": 44.959999084472656, ""transaction_file"": null, ""account_file"": null, ""new_high"": 44.959999084472656, ""new_low"": 44.959999084472656}]}",0.0,0
2023-08-02 10:11:01.822084,"{""account_number"": ""5"", ""money"": 9489.54666021381, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 0.0, ""buy_price"": 44.959999084472656, ""sell_price"": 42.665000915527344, ""all_time_peak"": 0, ""last_high"": 43.11009979248047, ""last_low"": 42.665000915527344, ""trend"": ""DOWN"", ""last_price"": 42.665000915527344, ""transaction_file"": null, ""account_file"": null, ""new_high"": 44.959999084472656, ""new_low"": 42.665000915527344}]}",0.0,0
2023-08-02 16:01:19.953700,"{""account_number"": ""5"", ""money"": 9489.54666021381, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 0.0, ""buy_price"": 44.959999084472656, ""sell_price"": 42.665000915527344, ""all_time_peak"": 0, ""last_high"": 41.790000915527344, ""last_low"": 41.76319885253906, ""trend"": ""UP"", ""last_price"": 41.790000915527344, ""transaction_file"": null, ""account_file"": null, ""new_high"": 41.790000915527344, ""new_low"": 41.76319885253906}]}",0.0,0
2023-08-03 05:00:59.558299,"{""account_number"": ""5"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 227.07696703322893, ""buy_price"": 44.959999084472656, ""sell_price"": 42.665000915527344, ""all_time_peak"": 0, ""last_high"": 41.790000915527344, ""last_low"": 41.76319885253906, ""trend"": ""UP"", ""last_price"": 41.790000915527344, ""transaction_file"": null, ""account_file"": null, ""new_high"": 41.790000915527344, ""new_low"": 41.76319885253906}]}",0.0,0
2023-08-03 16:01:18.920254,"{""account_number"": ""5"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 227.07696703322893, ""buy_price"": 44.959999084472656, ""sell_price"": 42.665000915527344, ""all_time_peak"": 0, ""last_high"": 41.96500015258789, ""last_low"": 41.720001220703125, ""trend"": ""DOWN"", ""last_price"": 41.720001220703125, ""transaction_file"": null, ""account_file"": null, ""new_high"": 42.43000030517578, ""new_low"": 41.720001220703125}]}",0.0,0
2023-08-04 05:00:59.546541,"{""account_number"": ""5"", ""money"": 0.0, ""account_path"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ"", ""transaction_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/transaction_5.txt"", ""account_file"": ""/home/big/AstroChimps/logs/account_logs/account_program_04_TQQQ/account_5.csv"", ""stocks"": [{""name"": ""TQQQ"", ""quantity"": 227.07696703322893, ""buy_price"": 44.959999084472656, ""sell_price"": 42.665000915527344, ""all_time_peak"": 0, ""last_high"": 41.96500015258789, ""last_low"": 41.720001220703125, ""trend"": ""DOWN"", ""last_price"": 41.720001220703125, ""transaction_file"": null, ""account_file"": null, ""new_high"": 42.43000030517578, ""new_low"": 41.720001220703125}]}",0.0,0
