2023-10-02-09:30:00,ERROR-1
2023-10-04-12:00:18,359.040
2023-10-04-12:05:18,358.540
2023-10-04-12:10:19,358.730
2023-10-04-12:15:20,358.310
2023-10-04-12:20:20,358.850
2023-10-04-12:25:21,358.400
2023-10-04-12:30:21,358.858
2023-10-04-12:35:22,358.780
2023-10-04-12:40:23,358.620
2023-10-04-12:45:23,358.480
2023-10-04-12:50:24,358.960
2023-10-04-12:55:24,358.888
2023-10-04-13:00:25,358.720
2023-10-04-13:05:26,358.550
2023-10-04-13:10:26,358.650
2023-10-04-13:15:27,358.440
2023-10-04-13:20:27,358.510
2023-10-04-13:25:28,357.900
2023-10-04-13:30:29,357.699
2023-10-04-13:35:29,357.889
2023-10-04-13:40:30,357.679
2023-10-04-13:45:30,357.845
2023-10-04-13:50:31,357.970
2023-10-04-13:55:32,357.330
2023-10-04-14:00:32,357.350
2023-10-04-14:05:33,357.590
2023-10-04-14:10:34,357.340
2023-10-04-14:15:34,357.750
2023-10-04-14:20:35,357.990
2023-10-04-14:25:35,357.330
2023-10-04-14:30:36,358.050
2023-10-04-14:35:36,357.680
2023-10-04-14:40:37,358.080
2023-10-04-14:45:38,358.442
2023-10-04-14:50:38,358.270
2023-10-04-14:55:39,358.250
2023-10-04-15:00:39,358.610
2023-10-04-15:05:40,358.550
2023-10-04-15:10:41,358.915
2023-10-04-15:15:41,359.440
2023-10-04-15:20:42,359.610
2023-10-04-15:25:43,359.910
2023-10-04-15:30:43,359.750
2023-10-04-15:35:44,360.168
2023-10-04-15:40:44,360.420
2023-10-04-15:45:45,360.060
2023-10-04-15:50:46,359.820
2023-10-04-15:55:46,360.090
2023-10-04-16:00:47,359.750
2023-10-05-09:30:00,359.750
2023-10-05-09:35:00,359.850
2023-10-05-09:40:01,359.114
2023-10-05-09:45:02,358.820
2023-10-05-09:50:02,358.240
2023-10-05-09:55:03,357.670
2023-10-05-10:00:04,357.771
2023-10-05-10:05:04,356.894
2023-10-05-10:10:05,356.510
2023-10-05-10:15:05,356.740
2023-10-05-10:20:06,356.960
2023-10-05-10:25:07,356.540
2023-10-05-10:30:07,356.906
2023-10-05-10:35:08,356.780
2023-10-05-10:40:09,355.490
2023-10-05-10:45:09,355.631
2023-10-05-10:50:10,355.301
2023-10-05-10:55:10,355.840
2023-10-05-11:00:11,355.530
2023-10-05-11:05:12,355.590
2023-10-05-11:10:12,355.422
2023-10-05-11:15:13,355.890
2023-10-05-11:20:13,355.610
2023-10-05-11:25:14,356.121
2023-10-05-11:30:15,356.015
2023-10-05-11:35:15,356.126
2023-10-05-11:40:16,356.345
2023-10-05-11:45:16,355.890
2023-10-05-11:50:17,356.230
2023-10-05-11:55:18,356.909
2023-10-05-12:00:18,356.260
2023-10-05-12:05:19,356.880
2023-10-05-12:10:19,356.910
2023-10-05-12:15:20,357.440
2023-10-05-12:20:20,357.350
2023-10-05-12:25:21,357.230
2023-10-05-12:30:21,357.730
2023-10-05-12:35:22,357.370
2023-10-05-12:40:23,357.190
2023-10-05-12:45:23,357.040
2023-10-05-12:50:24,356.960
2023-10-05-12:55:24,357.195
2023-10-05-13:00:25,357.210
2023-10-05-13:05:26,356.835
2023-10-05-13:10:26,356.565
2023-10-05-13:15:27,357.120
2023-10-05-13:20:27,357.070
2023-10-05-13:25:28,357.270
2023-10-05-13:30:29,357.400
2023-10-05-13:35:29,357.752
2023-10-05-13:40:30,358.198
2023-10-05-13:45:30,358.300
2023-10-05-13:50:31,358.420
2023-10-05-13:55:32,358.210
2023-10-05-14:00:32,358.530
2023-10-05-14:05:33,358.790
2023-10-05-14:10:33,358.430
2023-10-05-14:15:34,358.627
2023-10-05-14:20:35,358.760
2023-10-05-14:25:35,358.470
2023-10-05-14:30:36,358.760
2023-10-05-14:35:37,359.145
2023-10-05-14:40:37,359.630
2023-10-05-14:45:38,359.420
2023-10-05-14:50:39,359.360
2023-10-05-14:55:39,359.287
2023-10-05-15:00:40,359.580
2023-10-05-15:05:41,359.310
2023-10-05-15:10:41,359.180
2023-10-05-15:15:42,358.830
2023-10-05-15:20:42,358.890
2023-10-05-15:25:43,358.740
2023-10-05-15:30:44,359.100
2023-10-05-15:35:44,358.990
2023-10-05-15:40:45,358.920
2023-10-05-15:45:45,359.060
2023-10-05-15:50:46,359.000
2023-10-05-15:55:46,358.530
2023-10-05-16:00:47,358.690
2023-10-06-09:30:00,358.690
2023-10-06-09:35:00,356.350
2023-10-06-09:40:01,355.289
2023-10-06-09:45:02,355.720
2023-10-06-09:50:02,355.810
2023-10-06-09:55:03,356.300
2023-10-06-10:00:03,356.180
2023-10-06-10:05:04,355.590
2023-10-06-10:10:05,355.400
2023-10-06-10:15:05,356.651
2023-10-06-10:20:06,356.330
2023-10-06-10:25:06,357.740
2023-10-06-10:30:07,358.260
2023-10-06-10:35:08,358.910
2023-10-06-10:40:08,358.980
2023-10-06-10:45:09,359.129
2023-10-06-10:50:09,359.180
2023-10-06-10:55:10,359.000
2023-10-06-11:00:11,359.230
2023-10-06-11:05:11,359.832
2023-10-06-11:10:12,360.320
2023-10-06-11:15:12,360.109
2023-10-06-11:20:13,359.700
2023-10-06-11:25:14,360.015
2023-10-06-11:30:14,360.250
2023-10-06-11:35:15,361.390
2023-10-06-11:40:15,361.810
2023-10-06-11:45:16,362.060
2023-10-06-11:50:17,362.433
2023-10-06-11:55:17,362.440
2023-10-06-12:00:18,363.215
2023-10-06-12:05:18,363.280
2023-10-06-12:10:19,363.260
2023-10-06-12:15:19,363.050
2023-10-06-12:20:20,363.110
2023-10-06-12:25:20,362.520
2023-10-06-12:30:21,363.041
2023-10-06-12:35:22,362.520
2023-10-06-12:40:22,362.680
2023-10-06-12:45:23,363.210
2023-10-06-12:50:23,363.360
2023-10-06-12:55:24,363.230
2023-10-06-13:00:25,363.080
2023-10-06-13:05:25,363.130
2023-10-06-13:10:26,363.210
2023-10-06-13:15:26,363.840
2023-10-06-13:20:27,363.910
2023-10-06-13:25:28,364.110
2023-10-06-13:30:28,364.180
2023-10-06-13:35:29,364.240
2023-10-06-13:40:29,364.350
2023-10-06-13:45:30,363.810
2023-10-06-13:50:30,364.090
2023-10-06-13:55:31,364.150
2023-10-06-14:00:32,364.020
2023-10-06-14:05:32,364.090
2023-10-06-14:10:33,364.460
2023-10-06-14:15:33,364.346
2023-10-06-14:20:34,364.440
2023-10-06-14:25:34,364.660
2023-10-06-14:30:35,364.961
