2023-10-02-09:30:00,ERROR-1
2023-10-02-09:35:01,392.400
2023-10-02-09:40:01,392.810
2023-10-02-09:45:02,392.820
2023-10-02-09:50:03,392.210
2023-10-02-09:55:03,392.050
2023-10-02-10:00:04,391.860
2023-10-02-10:05:05,393.120
2023-10-02-10:10:05,392.660
2023-10-02-10:15:06,392.195
2023-10-02-10:20:06,392.530
2023-10-02-10:25:07,392.670
2023-10-02-10:30:08,392.070
2023-10-02-10:35:08,392.220
2023-10-02-10:40:09,392.100
2023-10-02-10:45:09,392.020
2023-10-02-10:50:10,391.870
2023-10-02-10:55:10,391.812
2023-10-02-11:00:11,391.690
2023-10-02-11:05:12,392.085
2023-10-02-11:10:12,392.040
2023-10-02-11:15:13,392.641
2023-10-02-11:20:14,392.760
2023-10-02-11:25:14,393.400
2023-10-02-11:30:15,393.700
2023-10-02-11:35:15,393.409
2023-10-02-11:40:16,392.700
2023-10-02-11:45:17,392.080
2023-10-02-11:50:17,391.850
2023-10-02-11:55:18,391.060
2023-10-02-12:00:18,391.145
2023-10-02-12:05:19,391.070
2023-10-02-12:10:20,390.545
2023-10-02-12:15:20,391.150
2023-10-02-12:20:21,390.965
2023-10-02-12:25:21,391.210
2023-10-02-12:30:22,390.820
2023-10-02-12:35:23,390.910
2023-10-02-12:40:23,390.930
2023-10-02-12:45:24,390.560
2023-10-02-12:50:24,390.050
2023-10-02-12:55:25,390.220
2023-10-02-13:00:26,390.320
2023-10-02-13:05:26,390.490
2023-10-02-13:10:27,390.430
2023-10-02-13:15:27,390.280
2023-10-02-13:20:28,390.780
2023-10-02-13:25:29,390.940
2023-10-02-13:30:29,391.140
2023-10-02-13:35:30,390.830
2023-10-02-13:40:30,390.840
2023-10-02-13:45:31,391.100
2023-10-02-13:50:32,391.024
2023-10-02-13:55:32,391.320
2023-10-02-14:00:33,390.994
2023-10-02-14:05:33,390.990
2023-10-02-14:10:34,391.510
2023-10-02-14:15:35,391.920
2023-10-02-14:20:35,391.070
2023-10-02-14:25:36,390.860
2023-10-02-14:30:36,390.470
2023-10-02-14:35:37,390.604
2023-10-02-14:40:38,390.090
2023-10-02-14:45:38,390.350
2023-10-02-14:50:39,390.430
2023-10-02-14:55:39,390.520
2023-10-02-15:00:40,390.480
2023-10-02-15:05:41,390.260
2023-10-02-15:10:41,390.740
