2024-04-01-09:30:00,ERROR-1
2024-04-01-09:35:00,446.150
2024-04-01-09:40:01,447.220
2024-04-01-09:45:01,447.120
2024-04-01-09:50:02,447.080
2024-04-01-09:55:02,447.220
2024-04-01-10:00:03,446.890
2024-04-01-10:05:04,446.295
2024-04-01-10:10:04,446.800
2024-04-01-10:15:05,447.090
2024-04-01-10:20:05,445.490
2024-04-01-10:25:06,446.050
2024-04-01-10:30:07,445.850
2024-04-01-10:35:07,445.665
2024-04-01-10:40:08,444.790
2024-04-01-10:45:08,445.130
2024-04-01-10:50:09,444.800
2024-04-01-10:55:09,444.460
2024-04-01-11:00:10,444.630
2024-04-01-11:05:11,444.530
2024-04-01-11:10:11,444.360
2024-04-01-11:15:12,443.970
2024-04-01-11:20:12,443.570
2024-04-01-11:25:13,443.920
2024-04-01-11:30:13,444.260
2024-04-01-11:35:14,444.100
2024-04-01-11:40:14,444.020
2024-04-01-11:45:15,444.120
2024-04-01-11:50:15,444.270
2024-04-01-11:55:16,443.581
2024-04-01-12:00:17,443.240
2024-04-01-12:05:17,443.844
2024-04-01-12:10:18,444.279
2024-04-01-12:15:18,444.400
2024-04-01-12:20:19,444.490
2024-04-01-12:25:19,444.380
2024-04-01-12:30:20,444.600
2024-04-01-12:35:20,444.560
2024-04-01-12:40:21,444.625
2024-04-01-12:45:21,444.792
2024-04-01-12:50:22,444.665
2024-04-01-12:55:23,444.520
2024-04-01-13:00:23,444.320
2024-04-01-13:05:24,444.350
2024-04-01-13:10:25,444.055
2024-04-01-13:15:25,444.080
2024-04-01-13:20:26,443.650
2024-04-01-13:25:26,443.350
2024-04-01-13:30:27,443.930
2024-04-01-13:35:28,443.820
2024-04-01-13:40:28,443.910
2024-04-01-13:45:29,444.135
2024-04-01-13:50:29,444.220
2024-04-01-13:55:30,444.090
2024-04-01-14:00:30,444.210
2024-04-01-14:05:31,444.200
2024-04-01-14:10:31,444.120
2024-04-01-14:15:32,444.025
2024-04-01-14:20:33,444.300
2024-04-01-14:25:33,444.550
2024-04-01-14:30:34,444.470
2024-04-01-14:35:34,444.420
2024-04-01-14:40:35,444.550
2024-04-01-14:45:35,444.355
