2023-10-02-09:30:00,ERROR-1
2023-10-02-09:35:01,35.940
2023-10-02-09:40:01,36.230
2023-10-02-09:45:02,36.269
2023-10-02-09:50:02,36.090
2023-10-02-09:55:03,36.030
2023-10-02-10:00:04,35.950
2023-10-02-10:05:04,36.471
2023-10-02-10:10:05,36.308
2023-10-02-10:15:06,36.137
2023-10-02-10:20:06,36.235
2023-10-02-10:25:07,36.280
2023-10-02-10:30:07,36.035
2023-10-02-10:35:08,36.150
2023-10-02-10:40:09,36.160
2023-10-02-10:45:09,36.160
2023-10-02-10:50:10,36.260
2023-10-02-10:55:10,36.217
2023-10-02-11:00:11,36.140
2023-10-02-11:05:12,36.280
2023-10-02-11:10:12,36.249
2023-10-02-11:15:13,36.525
2023-10-02-11:20:13,36.610
2023-10-02-11:25:14,36.845
2023-10-02-11:30:15,36.875
2023-10-02-11:35:15,36.704
2023-10-02-11:40:16,36.520
2023-10-02-11:45:16,36.300
2023-10-02-11:50:17,36.250
2023-10-02-11:55:18,36.000
2023-10-02-12:00:18,35.991
2023-10-02-12:05:19,35.970
2023-10-02-12:10:19,35.800
2023-10-02-12:15:20,36.021
2023-10-02-12:20:21,35.955
2023-10-02-12:25:21,36.035
2023-10-02-12:30:22,35.900
2023-10-02-12:35:22,35.990
2023-10-02-12:40:23,35.985
2023-10-02-12:45:24,35.876
2023-10-02-12:50:24,35.760
2023-10-02-12:55:25,35.800
2023-10-02-13:00:25,35.815
2023-10-02-13:05:26,35.850
2023-10-02-13:10:27,35.775
2023-10-02-13:15:27,35.695
2023-10-02-13:20:28,35.849
2023-10-02-13:25:28,35.905
2023-10-02-13:30:29,36.000
2023-10-02-13:35:30,35.910
2023-10-02-13:40:30,35.920
2023-10-02-13:45:31,36.025
2023-10-02-13:50:31,35.970
2023-10-02-13:55:32,36.076
2023-10-02-14:00:33,35.955
2023-10-02-14:05:33,35.950
2023-10-02-14:10:34,36.027
2023-10-02-14:15:34,36.220
2023-10-02-14:20:35,35.953
2023-10-02-14:25:36,35.880
2023-10-02-14:30:36,35.760
2023-10-02-14:35:37,35.800
2023-10-02-14:40:37,35.645
2023-10-02-14:45:38,35.740
2023-10-02-14:50:39,35.745
2023-10-02-14:55:39,35.795
2023-10-02-15:00:40,35.770
2023-10-02-15:05:40,35.705
2023-10-02-15:10:41,35.840
2023-10-02-15:15:42,35.815
2023-10-02-15:20:42,35.880
2023-10-02-15:25:43,36.010
2023-10-02-15:30:43,35.975
2023-10-02-15:35:44,36.115
2023-10-02-15:40:45,36.110
2023-10-02-15:45:46,36.115
2023-10-02-15:50:46,36.070
2023-10-02-15:55:47,36.380
2023-10-02-16:00:47,36.470
2023-10-03-09:30:00,36.470
2023-10-03-09:35:01,35.895
2023-10-03-09:40:01,35.881
2023-10-03-09:45:02,35.935
2023-10-03-09:50:02,36.090
2023-10-03-09:55:03,36.340
2023-10-03-10:00:04,36.090
2023-10-03-10:05:04,35.483
2023-10-03-10:10:05,35.340
2023-10-03-10:15:06,35.195
2023-10-03-10:20:06,35.001
2023-10-03-10:25:07,34.955
2023-10-03-10:30:07,34.950
2023-10-03-10:35:08,35.080
2023-10-03-10:40:09,34.930
2023-10-03-10:45:09,35.056
2023-10-03-10:50:10,34.871
2023-10-03-10:55:10,34.794
2023-10-03-11:00:11,34.690
2023-10-03-11:05:12,34.666
