2023-09-11-09:30:00,ERROR-1
2023-09-11-09:35:01,412.210
2023-09-11-09:40:01,411.513
2023-09-11-09:45:02,411.370
2023-09-11-09:50:02,411.100
2023-09-11-09:55:03,411.140
2023-09-11-10:00:03,410.770
2023-09-11-10:05:04,410.790
2023-09-11-10:10:04,410.900
2023-09-11-10:15:05,410.600
2023-09-11-10:20:06,410.910
2023-09-11-10:25:06,411.170
2023-09-11-10:30:07,411.440
2023-09-11-10:35:07,410.916
2023-09-11-10:40:08,410.750
2023-09-11-10:45:08,411.009
2023-09-11-10:50:09,411.145
2023-09-11-10:55:09,410.990
2023-09-11-11:00:10,410.707
2023-09-11-11:05:10,410.530
2023-09-11-11:10:11,410.390
2023-09-11-11:15:12,410.530
2023-09-11-11:20:12,410.620
2023-09-11-11:25:13,410.980
2023-09-11-11:30:13,410.930
2023-09-11-11:35:14,410.840
2023-09-11-11:40:14,410.930
2023-09-11-11:45:15,410.640
2023-09-11-11:50:16,410.605
2023-09-11-11:55:16,410.700
2023-09-11-12:00:17,410.688
2023-09-11-12:05:17,410.720
2023-09-11-12:10:18,411.110
2023-09-11-12:15:19,411.180
2023-09-11-12:20:19,411.010
2023-09-11-12:25:20,410.995
2023-09-11-12:30:20,411.340
2023-09-11-12:35:21,411.270
2023-09-11-12:40:21,411.160
2023-09-11-12:45:22,411.220
2023-09-11-12:50:22,411.350
2023-09-11-12:55:23,411.316
2023-09-11-13:00:24,411.390
2023-09-11-13:05:24,411.460
2023-09-11-13:10:25,411.550
2023-09-11-13:15:25,411.460
2023-09-11-13:20:26,411.640
2023-09-11-13:25:26,411.770
2023-09-11-13:30:27,411.870
2023-09-11-13:35:28,411.964
2023-09-11-13:40:28,412.130
2023-09-11-13:45:29,411.900
2023-09-11-13:50:29,411.900
2023-09-11-13:55:30,412.020
2023-09-11-14:00:31,412.025
2023-09-11-14:05:31,411.865
2023-09-11-14:10:32,411.810
2023-09-11-14:15:32,412.090
2023-09-11-14:20:33,412.090
2023-09-11-14:25:33,412.015
2023-09-11-14:30:34,412.110
2023-09-11-14:35:34,412.090
2023-09-11-14:40:35,412.070
2023-09-11-14:45:36,411.960
2023-09-11-14:50:36,412.180
2023-09-11-14:55:37,412.131
2023-09-11-15:00:37,412.062
2023-09-11-15:05:38,412.099
2023-09-11-15:10:38,412.150
2023-09-11-15:15:39,411.950
2023-09-11-15:20:39,412.040
2023-09-11-15:25:40,412.294
2023-09-11-15:30:40,412.250
2023-09-11-15:35:41,412.155
2023-09-11-15:40:41,412.180
2023-09-11-15:45:42,412.030
2023-09-11-15:50:42,411.900
2023-09-11-15:55:43,411.780
2023-09-11-16:00:44,412.130
2023-09-12-09:30:00,412.080
2023-09-12-09:35:01,410.602
2023-09-12-09:40:01,411.320
2023-09-12-09:45:02,411.265
2023-09-12-09:50:02,411.030
2023-09-12-09:55:03,411.180
2023-09-12-10:00:04,411.400
2023-09-12-10:05:04,411.150
2023-09-12-10:10:05,410.820
2023-09-12-10:15:05,411.262
2023-09-12-10:20:06,411.170
2023-09-12-10:25:06,410.740
2023-09-12-10:30:07,410.360
2023-09-12-10:35:07,410.635
2023-09-12-10:40:08,410.440
2023-09-12-10:45:08,410.580
2023-09-12-10:50:09,410.335
2023-09-12-10:55:09,410.180
2023-09-12-11:00:10,410.010
2023-09-12-11:05:11,410.524
2023-09-12-11:10:11,410.040
2023-09-12-11:15:12,410.190
2023-09-12-11:20:12,410.080
2023-09-12-11:25:13,410.240
2023-09-12-11:30:13,410.490
2023-09-12-11:35:14,410.670
2023-09-12-11:40:14,410.660
2023-09-12-11:45:15,410.680
2023-09-12-11:50:16,410.784
2023-09-12-11:55:16,410.929
2023-09-12-12:00:17,410.830
2023-09-12-12:05:17,411.090
2023-09-12-12:10:18,411.040
2023-09-12-12:15:18,411.130
2023-09-12-12:20:19,411.130
2023-09-12-12:25:19,411.150
2023-09-12-12:30:20,410.990
2023-09-12-12:35:21,410.750
2023-09-12-12:40:21,410.850
2023-09-12-12:45:22,411.055
2023-09-12-12:50:22,411.240
2023-09-12-12:55:23,411.060
2023-09-12-13:00:23,410.980
2023-09-12-13:05:24,411.200
2023-09-12-13:10:25,411.128
2023-09-12-13:15:25,411.155
2023-09-12-13:20:26,411.510
2023-09-12-13:25:26,411.968
2023-09-12-13:30:27,412.060
2023-09-12-13:35:27,412.010
2023-09-12-13:40:28,411.840
2023-09-12-13:45:28,411.260
2023-09-12-13:50:29,411.150
2023-09-12-13:55:30,410.860
2023-09-12-14:00:30,410.590
2023-09-12-14:05:31,410.672
2023-09-12-14:10:31,410.738
2023-09-12-14:15:32,410.680
2023-09-12-14:20:33,410.650
2023-09-12-14:25:33,410.545
