2023-09-11-09:30:00,ERROR-1
2023-09-11-09:35:00,375.890
2023-09-11-09:40:01,374.800
2023-09-11-09:45:01,374.780
2023-09-11-09:50:02,374.530
2023-09-11-09:55:03,374.920
2023-09-11-10:00:03,374.260
2023-09-11-10:05:04,374.650
2023-09-11-10:10:04,374.470
2023-09-11-10:15:05,373.750
2023-09-11-10:20:05,374.020
2023-09-11-10:25:06,374.225
2023-09-11-10:30:06,374.460
2023-09-11-10:35:07,374.090
2023-09-11-10:40:07,373.974
2023-09-11-10:45:08,374.410
2023-09-11-10:50:09,374.700
2023-09-11-10:55:09,374.480
2023-09-11-11:00:10,374.140
2023-09-11-11:05:10,374.060
2023-09-11-11:10:11,374.110
2023-09-11-11:15:11,374.335
2023-09-11-11:20:12,374.540
2023-09-11-11:25:12,374.945
2023-09-11-11:30:13,374.900
2023-09-11-11:35:14,374.885
2023-09-11-11:40:14,374.990
2023-09-11-11:45:15,374.490
2023-09-11-11:50:15,374.430
2023-09-11-11:55:16,374.548
2023-09-11-12:00:17,374.440
2023-09-11-12:05:17,374.275
2023-09-11-12:10:18,374.719
2023-09-11-12:15:18,374.800
2023-09-11-12:20:19,374.530
2023-09-11-12:25:19,374.520
2023-09-11-12:30:20,375.040
2023-09-11-12:35:20,374.800
2023-09-11-12:40:21,374.581
2023-09-11-12:45:22,374.750
2023-09-11-12:50:22,374.920
2023-09-11-12:55:23,374.910
2023-09-11-13:00:23,375.039
2023-09-11-13:05:24,375.265
2023-09-11-13:10:25,375.440
2023-09-11-13:15:25,375.380
2023-09-11-13:20:26,375.560
2023-09-11-13:25:26,375.780
2023-09-11-13:30:27,376.110
2023-09-11-13:35:27,376.200
2023-09-11-13:40:28,376.390
2023-09-11-13:45:28,376.291
2023-09-11-13:50:29,376.410
2023-09-11-13:55:30,376.766
2023-09-11-14:00:30,376.840
2023-09-11-14:05:31,376.645
2023-09-11-14:10:31,376.540
2023-09-11-14:15:32,376.970
2023-09-11-14:20:33,376.940
2023-09-11-14:25:33,376.985
2023-09-11-14:30:34,377.020
2023-09-11-14:35:34,377.004
2023-09-11-14:40:35,376.945
2023-09-11-14:45:35,376.820
2023-09-11-14:50:36,377.105
2023-09-11-14:55:36,377.090
2023-09-11-15:00:37,376.930
2023-09-11-15:05:37,376.940
2023-09-11-15:10:38,377.070
2023-09-11-15:15:38,376.832
2023-09-11-15:20:39,377.010
2023-09-11-15:25:40,377.350
2023-09-11-15:30:40,377.370
2023-09-11-15:35:41,377.415
2023-09-11-15:40:41,377.439
2023-09-11-15:45:42,377.190
2023-09-11-15:50:42,376.990
2023-09-11-15:55:43,376.740
2023-09-11-16:00:43,376.970
2023-09-12-09:30:00,376.970
2023-09-12-09:35:00,375.570
2023-09-12-09:40:01,375.810
2023-09-12-09:45:01,375.990
2023-09-12-09:50:02,375.898
2023-09-12-09:55:03,376.210
2023-09-12-10:00:03,376.490
2023-09-12-10:05:04,376.300
2023-09-12-10:10:04,376.200
2023-09-12-10:15:05,376.400
2023-09-12-10:20:05,376.286
2023-09-12-10:25:06,375.531
2023-09-12-10:30:06,374.658
2023-09-12-10:35:07,375.070
2023-09-12-10:40:07,374.680
2023-09-12-10:45:08,374.760
2023-09-12-10:50:09,374.515
2023-09-12-10:55:09,373.985
2023-09-12-11:00:10,373.851
2023-09-12-11:05:10,374.420
2023-09-12-11:10:11,373.560
2023-09-12-11:15:11,373.720
2023-09-12-11:20:12,373.527
2023-09-12-11:25:13,373.610
2023-09-12-11:30:13,374.040
2023-09-12-11:35:14,374.275
2023-09-12-11:40:14,374.290
2023-09-12-11:45:15,374.260
2023-09-12-11:50:15,374.320
2023-09-12-11:55:16,374.345
2023-09-12-12:00:16,374.190
2023-09-12-12:05:17,374.610
2023-09-12-12:10:18,374.530
2023-09-12-12:15:18,374.550
2023-09-12-12:20:19,374.629
2023-09-12-12:25:19,374.550
2023-09-12-12:30:20,374.360
2023-09-12-12:35:20,374.105
2023-09-12-12:40:21,374.150
2023-09-12-12:45:21,374.491
2023-09-12-12:50:22,374.650
2023-09-12-12:55:23,374.280
2023-09-12-13:00:23,374.220
2023-09-12-13:05:24,374.614
2023-09-12-13:10:24,374.326
2023-09-12-13:15:25,374.505
2023-09-12-13:20:25,374.929
2023-09-12-13:25:26,375.460
2023-09-12-13:30:26,375.515
2023-09-12-13:35:27,375.390
2023-09-12-13:40:28,375.190
2023-09-12-13:45:28,374.430
2023-09-12-13:50:29,374.325
2023-09-12-13:55:29,373.944
2023-09-12-14:00:30,373.620
2023-09-12-14:05:30,373.850
2023-09-12-14:10:31,373.871
2023-09-12-14:15:32,373.800
2023-09-12-14:20:32,373.610
2023-09-12-14:25:33,373.670
2023-09-12-14:30:33,373.508
2023-09-12-14:35:34,373.799
2023-09-12-14:40:34,373.600
2023-09-12-14:45:35,373.515
2023-09-12-14:50:35,373.230
2023-09-12-14:55:36,372.910
2023-09-12-15:00:36,372.810
2023-09-12-15:05:37,372.760
2023-09-12-15:10:37,372.870
2023-09-12-15:15:38,372.669
2023-09-12-15:20:39,372.680
2023-09-12-15:25:39,372.550
2023-09-12-15:30:40,372.740
2023-09-12-15:35:40,372.865
2023-09-12-15:40:41,372.870
2023-09-12-15:45:41,372.990
2023-09-12-15:50:42,372.970
2023-09-12-15:55:43,372.965
2023-09-12-16:00:43,372.790
2023-09-13-09:30:00,372.790
2023-09-13-09:35:00,373.490
2023-09-13-09:40:01,373.840
2023-09-13-09:45:02,374.230
2023-09-13-09:50:02,374.230
2023-09-13-09:55:03,373.455
2023-09-13-10:00:03,374.110
2023-09-13-10:05:04,372.810
2023-09-13-10:10:05,372.620
2023-09-13-10:15:05,372.300
2023-09-13-10:20:06,372.250
