2024-06-03-09:30:00,ERROR-1
2024-06-03-09:35:01,486.060
2024-06-03-09:40:01,486.105
2024-06-03-09:45:02,485.970
2024-06-03-09:50:02,485.960
2024-06-03-09:55:03,485.410
2024-06-03-10:00:04,485.930
2024-06-03-10:05:04,485.185
2024-06-03-10:10:05,485.340
2024-06-03-10:15:05,485.130
2024-06-03-10:20:06,485.685
2024-06-03-10:25:06,485.510
2024-06-03-10:30:07,485.525
2024-06-03-10:35:07,485.168
2024-06-03-10:40:08,484.750
2024-06-03-10:45:08,484.750
2024-06-03-10:50:09,484.000
2024-06-03-10:55:10,483.406
2024-06-03-11:00:10,483.510
2024-06-03-11:05:11,483.150
2024-06-03-11:10:11,483.650
2024-06-03-11:15:12,483.655
2024-06-03-11:20:12,483.850
2024-06-03-11:25:13,483.845
2024-06-03-11:30:13,483.886
2024-06-03-11:35:14,483.558
2024-06-03-11:40:15,483.585
2024-06-03-11:45:15,483.630
2024-06-03-11:50:16,483.460
2024-06-03-11:55:16,483.690
2024-06-03-12:00:17,483.650
2024-06-03-12:05:17,483.436
2024-06-03-12:10:18,483.350
2024-06-03-12:15:18,482.300
2024-06-03-12:20:19,481.970
2024-06-03-12:25:19,481.515
2024-06-03-12:30:20,481.495
2024-06-03-12:35:21,481.170
2024-06-03-12:40:21,481.870
2024-06-03-12:45:22,481.640
2024-06-03-12:50:22,481.590
2024-06-03-12:55:23,481.544
2024-06-03-13:00:23,481.190
2024-06-03-13:05:24,481.250
2024-06-03-13:10:24,480.990
2024-06-03-13:15:25,480.940
2024-06-03-13:20:25,481.580
2024-06-03-13:25:26,481.740
2024-06-03-13:30:27,482.360
2024-06-03-13:35:27,482.495
2024-06-03-13:40:28,482.927
2024-06-03-13:45:28,483.050
2024-06-03-13:50:29,482.900
2024-06-03-13:55:30,482.700
2024-06-03-14:00:30,482.800
2024-06-03-14:05:31,482.890
2024-06-03-14:10:31,482.995
2024-06-03-14:15:32,482.440
2024-06-03-14:20:32,482.730
2024-06-03-14:25:33,483.040
2024-06-03-14:30:34,482.880
2024-06-03-14:35:34,483.030
2024-06-03-14:40:35,483.210
2024-06-03-14:45:35,483.272
2024-06-03-14:50:36,483.370
2024-06-03-14:55:36,483.065
2024-06-03-15:00:37,483.180
2024-06-03-15:05:38,483.500
2024-06-03-15:10:38,483.300
2024-06-03-15:15:39,483.539
2024-06-03-15:20:39,483.730
