2024-07-01-09:30:00,ERROR-1
2024-07-01-09:35:00,479.110
2024-07-01-09:40:01,479.620
2024-07-01-09:45:02,478.750
2024-07-01-09:50:02,477.400
2024-07-01-09:55:03,477.190
2024-07-01-10:00:03,478.270
2024-07-01-10:05:04,478.780
2024-07-01-10:10:05,478.800
2024-07-01-10:15:05,476.320
2024-07-01-10:20:06,478.700
2024-07-01-10:25:06,478.920
2024-07-01-10:30:07,479.250
2024-07-01-10:35:07,478.650
2024-07-01-10:40:08,478.470
2024-07-01-10:45:08,478.660
2024-07-01-10:50:09,478.300
2024-07-01-10:55:09,477.660
2024-07-01-11:00:10,478.470
2024-07-01-11:05:10,478.486
2024-07-01-11:10:11,478.220
2024-07-01-11:15:11,479.390
2024-07-01-11:20:12,479.250
2024-07-01-11:25:13,478.970
2024-07-01-11:30:13,479.460
2024-07-01-11:35:14,479.450
2024-07-01-11:40:14,479.192
2024-07-01-11:45:15,479.230
2024-07-01-11:50:15,479.655
2024-07-01-11:55:16,479.770
2024-07-01-12:00:17,480.090
2024-07-01-12:05:17,479.890
2024-07-01-12:10:18,480.710
2024-07-01-12:15:18,480.990
2024-07-01-12:20:19,480.960
2024-07-01-12:25:19,480.930
2024-07-01-12:30:20,481.080
2024-07-01-12:35:20,480.930
2024-07-01-12:40:21,481.090
2024-07-01-12:45:22,481.250
2024-07-01-12:50:22,481.010
2024-07-01-12:55:23,481.140
2024-07-01-13:00:26,481.050
2024-07-01-13:05:27,481.050
2024-07-01-13:10:28,481.050
2024-07-01-13:15:29,481.050
2024-07-01-13:20:30,481.050
2024-07-01-13:25:31,480.630
2024-07-01-13:30:34,480.830
2024-07-01-13:35:34,480.897
2024-07-01-13:40:35,481.050
2024-07-01-13:45:36,481.050
2024-07-01-13:50:36,480.753
2024-07-01-13:55:37,480.600
2024-07-01-14:00:38,481.050
2024-07-01-14:05:41,481.050
2024-07-01-14:10:41,481.050
2024-07-01-14:15:42,481.050
2024-07-01-14:20:42,481.050
2024-07-01-14:25:45,481.330
2024-07-01-14:30:46,480.690
2024-07-01-14:35:47,480.930
2024-07-01-14:40:48,481.080
2024-07-01-14:45:49,481.080
2024-07-01-14:50:50,480.820
2024-07-01-14:55:50,480.990
2024-07-01-15:00:51,481.055
2024-07-01-15:05:52,481.360
2024-07-01-15:10:53,481.660
2024-07-01-15:15:54,481.590
2024-07-01-15:20:55,481.260
2024-07-01-15:25:56,480.952
2024-07-01-15:30:57,480.900
2024-07-01-15:35:57,481.497
2024-07-01-15:40:58,481.270
2024-07-01-15:45:59,481.050
2024-07-01-15:51:00,481.490
2024-07-01-15:56:01,482.230
2024-07-02-09:30:00,481.920
2024-07-02-09:35:01,481.410
2024-07-02-09:40:08,481.550
2024-07-02-09:45:09,482.470
2024-07-02-09:50:10,482.190
2024-07-02-09:55:11,482.295
2024-07-02-10:00:17,482.321
2024-07-02-10:05:18,482.490
2024-07-02-10:10:19,481.830
2024-07-02-10:15:20,481.850
2024-07-02-10:20:21,482.220
2024-07-02-10:25:22,481.675
2024-07-02-10:30:23,482.473
2024-07-02-10:35:24,482.830
2024-07-02-10:40:25,483.390
2024-07-02-10:45:26,482.453
2024-07-02-10:50:27,482.982
2024-07-02-10:55:28,483.570
2024-07-02-11:00:29,483.470
2024-07-02-11:05:30,483.710
2024-07-02-11:10:30,483.740
2024-07-02-11:15:31,483.600
2024-07-02-11:20:32,483.280
2024-07-02-11:25:33,483.735
2024-07-02-11:30:34,484.050
2024-07-02-11:35:35,483.900
2024-07-02-11:40:35,484.370
2024-07-02-11:45:36,484.120
2024-07-02-11:50:37,484.052
2024-07-02-11:55:38,483.820
2024-07-02-12:00:39,482.910
2024-07-02-12:05:40,483.110
2024-07-02-12:10:40,482.430
2024-07-02-12:15:41,482.720
2024-07-02-12:20:42,482.880
2024-07-02-12:25:43,482.798
2024-07-02-12:30:44,483.326
2024-07-02-12:35:44,483.217
2024-07-02-12:40:45,483.404
2024-07-02-12:45:46,483.390
2024-07-02-12:50:47,483.640
2024-07-02-12:55:48,483.740
2024-07-02-13:00:49,483.810
2024-07-02-13:05:49,484.290
2024-07-02-13:10:50,484.831
2024-07-02-13:15:51,485.099
2024-07-02-13:20:52,485.210
2024-07-02-13:25:53,485.050
2024-07-02-13:30:54,484.874
2024-07-02-13:35:55,485.060
2024-07-02-13:40:55,485.260
2024-07-02-13:45:56,485.190
2024-07-02-13:50:57,485.420
2024-07-02-13:55:58,485.670
2024-07-02-14:00:59,485.765
2024-07-02-14:05:59,486.020
2024-07-02-14:11:00,485.900
2024-07-02-14:16:01,485.890
2024-07-02-14:21:02,485.990
2024-07-02-14:26:03,486.200
2024-07-02-14:31:03,486.130
2024-07-02-14:36:04,486.000
2024-07-02-14:41:05,485.980
2024-07-02-14:46:06,486.164
2024-07-02-14:51:07,486.440
2024-07-02-14:56:07,486.450
2024-07-02-15:01:08,486.250
2024-07-02-15:06:09,486.135
2024-07-02-15:11:10,486.075
2024-07-02-15:16:11,485.918
2024-07-02-15:21:11,486.135
2024-07-02-15:26:12,486.150
2024-07-02-15:31:13,486.300
2024-07-02-15:36:14,486.355
2024-07-02-15:41:15,486.090
2024-07-02-15:46:16,486.160
2024-07-02-15:51:16,486.090
2024-07-02-15:56:17,486.635
2024-07-03-09:30:00,486.980
2024-07-03-09:35:00,ERROR-1
2024-07-03-09:40:01,487.110
2024-07-03-09:45:02,487.090
2024-07-03-09:50:02,487.510
2024-07-03-09:55:03,487.460
2024-07-03-10:00:04,487.940
2024-07-03-10:05:04,487.400
2024-07-03-10:10:05,487.230
2024-07-03-10:15:06,487.870
2024-07-03-10:20:06,ERROR-1
2024-07-03-10:25:07,487.456
2024-07-03-10:30:08,487.280
2024-07-03-10:35:08,487.400
2024-07-03-10:40:09,487.666
2024-07-03-10:45:09,488.200
2024-07-03-10:50:10,488.465
2024-07-03-10:55:11,488.380
2024-07-03-11:00:11,488.400
2024-07-03-11:05:12,488.240
2024-07-03-11:10:12,488.850
2024-07-03-11:15:13,489.168
2024-07-03-11:20:14,489.370
2024-07-03-11:25:14,489.270
2024-07-03-11:30:15,489.380
2024-07-03-11:35:15,489.140
2024-07-03-11:40:16,489.100
2024-07-03-11:45:17,489.360
2024-07-03-11:50:17,489.380
2024-07-03-11:55:18,489.875
2024-07-03-12:00:19,490.095
2024-07-03-12:05:19,490.470
2024-07-03-12:10:20,490.500
2024-07-03-12:15:20,490.530
2024-07-03-12:20:21,490.930
2024-07-03-12:25:22,490.875
2024-07-03-12:30:22,491.020
2024-07-03-12:35:23,ERROR-1
2024-07-03-12:40:23,ERROR-1
2024-07-03-12:45:24,490.010
2024-07-03-12:50:24,490.380
2024-07-03-12:55:25,490.850
2024-07-03-13:00:26,491.040
2024-07-03-13:05:26,491.040
2024-07-03-13:10:27,491.040
2024-07-03-13:15:28,491.040
2024-07-03-13:20:28,491.040
2024-07-03-13:25:29,ERROR-1
2024-07-03-13:30:29,ERROR-1
2024-07-03-13:35:30,491.040
2024-07-03-13:40:30,491.040
2024-07-03-13:45:31,491.040
2024-07-03-13:50:32,491.040
2024-07-03-13:55:32,491.040
2024-07-03-14:00:33,491.040
2024-07-03-14:05:33,491.040
2024-07-03-14:10:34,ERROR-1
2024-07-03-14:15:34,ERROR-1
2024-07-03-14:20:35,ERROR-1
2024-07-03-14:25:36,ERROR-1
2024-07-03-14:30:36,491.040
2024-07-03-14:35:37,491.040
2024-07-03-14:40:37,491.040
2024-07-03-14:45:38,491.040
2024-07-03-14:50:39,491.040
2024-07-03-14:55:39,491.040
2024-07-03-15:00:40,491.040
2024-07-03-15:05:41,491.040
2024-07-03-15:10:41,491.040
2024-07-03-15:15:42,ERROR-1
2024-07-03-15:20:42,491.040
2024-07-03-15:25:43,ERROR-1
2024-07-03-15:30:44,491.040
2024-07-03-15:35:44,491.040
2024-07-03-15:40:45,491.040
2024-07-03-15:45:45,491.040
2024-07-03-15:50:46,491.040
2024-07-03-15:55:46,491.040
2024-07-03-16:00:47,491.040
2024-07-04-09:30:00,491.040
2024-07-04-09:35:00,491.040
2024-07-04-09:40:01,491.040
2024-07-04-09:45:01,491.040
2024-07-04-09:50:02,491.040
2024-07-04-09:55:02,491.040
2024-07-04-10:00:03,491.040
2024-07-04-10:05:03,491.040
2024-07-04-10:10:04,491.040
2024-07-04-10:15:05,491.040
2024-07-04-10:20:05,491.040
2024-07-04-10:25:06,491.040
