2024-06-03-09:30:00,ERROR-1
2024-06-03-09:35:00,454.720
2024-06-03-09:40:01,454.840
2024-06-03-09:45:01,454.990
2024-06-03-09:50:02,454.940
2024-06-03-09:55:03,453.970
2024-06-03-10:00:03,454.420
2024-06-03-10:05:04,453.650
2024-06-03-10:10:04,453.570
2024-06-03-10:15:05,453.370
2024-06-03-10:20:06,454.130
2024-06-03-10:25:06,454.210
2024-06-03-10:30:07,454.240
2024-06-03-10:35:07,453.750
2024-06-03-10:40:08,453.260
2024-06-03-10:45:08,453.110
2024-06-03-10:50:09,451.902
2024-06-03-10:55:09,451.270
2024-06-03-11:00:10,451.480
2024-06-03-11:05:10,451.200
2024-06-03-11:10:11,451.880
2024-06-03-11:15:11,451.471
2024-06-03-11:20:12,452.150
2024-06-03-11:25:13,452.300
2024-06-03-11:30:13,452.295
2024-06-03-11:35:14,452.030
2024-06-03-11:40:14,452.309
2024-06-03-11:45:15,452.350
2024-06-03-11:50:15,451.950
2024-06-03-11:55:16,452.150
2024-06-03-12:00:16,451.990
2024-06-03-12:05:17,451.610
2024-06-03-12:10:18,451.520
2024-06-03-12:15:18,450.205
2024-06-03-12:20:19,449.980
2024-06-03-12:25:19,449.321
2024-06-03-12:30:20,449.400
2024-06-03-12:35:20,448.930
2024-06-03-12:40:21,449.780
2024-06-03-12:45:21,449.600
2024-06-03-12:50:22,449.390
2024-06-03-12:55:23,449.390
2024-06-03-13:00:23,448.830
2024-06-03-13:05:24,448.800
2024-06-03-13:10:24,448.555
2024-06-03-13:15:25,448.630
2024-06-03-13:20:25,449.230
2024-06-03-13:25:26,449.598
2024-06-03-13:30:26,450.360
2024-06-03-13:35:27,450.490
2024-06-03-13:40:27,451.040
2024-06-03-13:45:28,451.240
2024-06-03-13:50:29,451.001
2024-06-03-13:55:29,450.890
2024-06-03-14:00:30,450.880
2024-06-03-14:05:30,450.910
2024-06-03-14:10:31,451.060
2024-06-03-14:15:32,450.365
2024-06-03-14:20:32,450.540
2024-06-03-14:25:33,450.920
2024-06-03-14:30:33,450.590
2024-06-03-14:35:34,450.769
2024-06-03-14:40:34,450.995
2024-06-03-14:45:35,451.011
2024-06-03-14:50:36,451.086
2024-06-03-14:55:36,450.540
2024-06-03-15:00:37,450.800
2024-06-03-15:05:37,451.060
2024-06-03-15:10:38,451.020
2024-06-03-15:15:39,451.270
2024-06-03-15:20:39,451.420
2024-06-03-15:25:40,451.610
2024-06-03-15:30:40,451.340
2024-06-03-15:35:41,451.640
2024-06-03-15:40:41,451.070
2024-06-03-15:45:42,451.480
2024-06-03-15:50:42,451.660
2024-06-03-15:55:43,452.380
2024-06-03-16:00:43,453.130
2024-06-04-09:30:00,453.130
2024-06-04-09:35:00,451.760
2024-06-04-09:40:01,452.590
2024-06-04-09:45:01,452.250
2024-06-04-09:50:02,452.380
2024-06-04-09:55:03,452.250
2024-06-04-10:00:03,452.450
2024-06-04-10:05:04,452.650
