2024-07-01-09:30:00,ERROR-1
2024-07-01-09:35:01,501.340
2024-07-01-09:40:01,501.260
2024-07-01-09:45:02,500.950
2024-07-01-09:50:02,500.290
2024-07-01-09:55:03,500.310
2024-07-01-10:00:04,501.040
2024-07-01-10:05:04,500.885
2024-07-01-10:10:05,500.660
2024-07-01-10:15:06,498.750
2024-07-01-10:20:06,500.100
2024-07-01-10:25:06,500.200
2024-07-01-10:30:07,500.320
2024-07-01-10:35:07,499.550
2024-07-01-10:40:08,499.300
2024-07-01-10:45:09,499.460
2024-07-01-10:50:09,499.040
2024-07-01-10:55:10,498.780
2024-07-01-11:00:10,499.320
2024-07-01-11:05:11,499.270
2024-07-01-11:10:11,499.390
2024-07-01-11:15:12,499.830
2024-07-01-11:20:12,499.730
2024-07-01-11:25:13,499.650
2024-07-01-11:30:13,500.120
2024-07-01-11:35:14,500.055
2024-07-01-11:40:15,499.885
2024-07-01-11:45:15,499.760
2024-07-01-11:50:16,500.050
2024-07-01-11:55:16,500.160
2024-07-01-12:00:17,500.360
2024-07-01-12:05:17,500.080
2024-07-01-12:10:18,500.770
2024-07-01-12:15:18,500.839
2024-07-01-12:20:19,500.890
2024-07-01-12:25:20,500.890
2024-07-01-12:30:20,501.060
2024-07-01-12:35:21,500.970
2024-07-01-12:40:21,501.070
2024-07-01-12:45:22,501.120
2024-07-01-12:50:23,500.880
2024-07-01-12:55:24,500.900
2024-07-01-13:00:26,500.950
2024-07-01-13:05:27,500.650
2024-07-01-13:10:29,500.775
2024-07-01-13:15:30,500.900
2024-07-01-13:20:31,500.960
2024-07-01-13:25:33,501.340
2024-07-01-13:30:34,500.850
2024-07-01-13:35:35,500.980
2024-07-01-13:40:35,501.050
2024-07-01-13:45:36,501.060
2024-07-01-13:50:37,500.870
2024-07-01-13:55:38,500.790
2024-07-01-14:00:40,500.650
2024-07-01-14:05:41,500.795
2024-07-01-14:10:41,499.390
2024-07-01-14:15:42,501.320
2024-07-01-14:20:45,500.775
2024-07-01-14:25:46,501.110
2024-07-01-14:30:46,500.540
2024-07-01-14:35:47,500.650
2024-07-01-14:40:48,500.710
2024-07-01-14:45:49,500.770
2024-07-01-14:50:50,500.520
2024-07-01-14:55:51,500.660
2024-07-01-15:00:52,500.575
2024-07-01-15:05:53,500.800
2024-07-01-15:10:54,500.881
2024-07-01-15:15:55,500.850
2024-07-01-15:20:55,500.620
2024-07-01-15:25:56,500.335
2024-07-01-15:30:57,500.290
2024-07-01-15:35:58,500.770
2024-07-01-15:40:59,500.672
2024-07-01-15:46:00,500.590
2024-07-01-15:51:00,501.020
2024-07-01-15:56:01,501.500
2024-07-02-09:30:00,501.280
2024-07-02-09:35:08,501.050
2024-07-02-09:40:09,500.925
2024-07-02-09:45:10,500.950
2024-07-02-09:50:11,500.970
2024-07-02-09:55:17,500.881
2024-07-02-10:00:18,500.930
2024-07-02-10:05:18,501.376
2024-07-02-10:10:19,500.720
2024-07-02-10:15:20,500.748
2024-07-02-10:20:21,501.000
2024-07-02-10:25:22,500.720
2024-07-02-10:30:24,501.285
2024-07-02-10:35:25,501.410
2024-07-02-10:40:26,501.620
2024-07-02-10:45:26,501.070
2024-07-02-10:50:27,501.410
2024-07-02-10:55:28,501.690
2024-07-02-11:00:29,501.615
2024-07-02-11:05:30,501.670
2024-07-02-11:10:31,501.640
