2024-04-01-09:30:00,ERROR-1
2024-04-01-09:35:00,62.430
2024-04-01-09:40:01,62.940
2024-04-01-09:45:01,62.824
2024-04-01-09:50:02,62.820
2024-04-01-09:55:03,62.880
2024-04-01-10:00:03,62.730
2024-04-01-10:05:04,62.490
2024-04-01-10:10:04,62.710
2024-04-01-10:15:05,62.814
2024-04-01-10:20:06,62.145
2024-04-01-10:25:06,62.385
2024-04-01-10:30:07,62.285
2024-04-01-10:35:07,62.227
2024-04-01-10:40:08,61.865
2024-04-01-10:45:08,61.990
2024-04-01-10:50:09,61.850
2024-04-01-10:55:10,61.710
2024-04-01-11:00:10,61.775
2024-04-01-11:05:11,61.740
2024-04-01-11:10:11,61.680
2024-04-01-11:15:12,61.520
2024-04-01-11:20:12,61.350
2024-04-01-11:25:13,61.490
2024-04-01-11:30:13,61.640
2024-04-01-11:35:14,61.570
2024-04-01-11:40:14,61.520
2024-04-01-11:45:15,61.570
2024-04-01-11:50:16,61.640
2024-04-01-11:55:16,61.350
2024-04-01-12:00:17,61.190
2024-04-01-12:05:17,61.470
2024-04-01-12:10:18,61.650
2024-04-01-12:15:18,61.700
2024-04-01-12:20:19,61.730
2024-04-01-12:25:19,61.670
2024-04-01-12:30:20,61.770
2024-04-01-12:35:20,61.755
2024-04-01-12:40:21,61.780
2024-04-01-12:45:22,61.860
2024-04-01-12:50:22,61.800
2024-04-01-12:55:23,61.745
2024-04-01-13:00:23,61.660
2024-04-01-13:05:24,61.665
2024-04-01-13:10:25,61.545
2024-04-01-13:15:25,61.555
2024-04-01-13:20:26,61.370
2024-04-01-13:25:27,61.250
2024-04-01-13:30:27,61.490
2024-04-01-13:35:28,61.440
2024-04-01-13:40:28,61.490
2024-04-01-13:45:29,61.575
2024-04-01-13:50:29,61.610
2024-04-01-13:55:30,61.570
2024-04-01-14:00:30,61.600
2024-04-01-14:05:31,61.616
2024-04-01-14:10:31,61.570
2024-04-01-14:15:32,61.535
2024-04-01-14:20:33,61.625
2024-04-01-14:25:33,61.755
2024-04-01-14:30:34,61.720
2024-04-01-14:35:34,61.700
2024-04-01-14:40:35,61.755
2024-04-01-14:45:35,61.680
2024-04-01-14:50:36,61.666
2024-04-01-14:55:36,61.755
2024-04-01-15:00:37,61.555
2024-04-01-15:05:37,61.755
2024-04-01-15:10:38,61.730
2024-04-01-15:15:38,61.705
2024-04-01-15:20:39,61.755
2024-04-01-15:25:40,61.699
2024-04-01-15:30:40,61.640
2024-04-01-15:35:41,61.714
2024-04-01-15:40:41,61.630
2024-04-01-15:45:42,61.790
2024-04-01-15:50:43,61.735
2024-04-01-15:55:43,62.050
2024-04-01-16:00:44,61.940
2024-04-02-09:30:00,61.940
2024-04-02-09:35:01,59.670
2024-04-02-09:40:01,59.450
2024-04-02-09:45:02,59.390
2024-04-02-09:50:02,59.353
2024-04-02-09:55:03,59.440
2024-04-02-10:00:03,59.440
2024-04-02-10:05:04,59.703
2024-04-02-10:10:05,59.435
2024-04-02-10:15:05,59.180
2024-04-02-10:20:06,59.140
2024-04-02-10:25:06,59.430
2024-04-02-10:30:07,59.355
2024-04-02-10:35:08,59.360
2024-04-02-10:40:08,59.410
2024-04-02-10:45:09,59.430
2024-04-02-10:50:09,59.250
2024-04-02-10:55:10,59.230
2024-04-02-11:00:10,59.136
2024-04-02-11:05:11,59.170
2024-04-02-11:10:12,59.377
2024-04-02-11:15:12,59.540
