2024-04-01-09:30:00,ERROR-1
2024-04-03-12:00:19,478.090
2024-04-03-12:05:19,477.850
2024-04-03-12:10:20,477.980
2024-04-03-12:15:21,477.860
2024-04-03-12:20:21,478.329
2024-04-03-12:25:22,478.340
2024-04-03-12:30:23,478.510
2024-04-03-12:35:23,478.590
2024-04-03-12:40:24,477.740
2024-04-03-12:45:24,478.240
2024-04-03-12:50:25,478.165
2024-04-03-12:55:26,478.500
2024-04-03-13:00:26,478.330
2024-04-03-13:05:27,478.335
2024-04-03-13:10:28,478.480
2024-04-03-13:15:28,478.390
2024-04-03-13:20:29,478.360
2024-04-03-13:25:29,478.488
2024-04-03-13:30:30,478.560
2024-04-03-13:35:31,478.450
2024-04-03-13:40:31,478.350
2024-04-03-13:45:32,478.382
2024-04-03-13:50:32,478.550
2024-04-03-13:55:33,478.540
2024-04-03-14:00:33,478.360
2024-04-03-14:05:34,478.396
2024-04-03-14:10:35,478.600
2024-04-03-14:15:35,478.495
2024-04-03-14:20:36,478.360
2024-04-03-14:25:37,478.270
2024-04-03-14:30:37,478.085
2024-04-03-14:35:38,478.130
2024-04-03-14:40:38,478.246
2024-04-03-14:45:39,478.110
2024-04-03-14:50:39,478.030
2024-04-03-14:55:40,478.070
2024-04-03-15:00:41,477.680
2024-04-03-15:05:42,477.800
2024-04-03-15:10:42,477.740
2024-04-03-15:15:43,476.380
2024-04-03-15:20:43,476.690
2024-04-03-15:25:44,476.410
2024-04-03-15:30:45,476.570
2024-04-03-15:35:45,477.210
2024-04-03-15:40:46,477.210
2024-04-03-15:45:46,477.405
2024-04-03-15:50:47,477.530
2024-04-03-15:55:48,477.110
2024-04-03-16:00:48,477.330
2024-04-04-09:30:00,477.360
2024-04-04-09:35:01,481.200
2024-04-04-09:40:01,480.735
2024-04-04-09:45:02,480.890
2024-04-04-09:50:02,480.840
2024-04-04-09:55:03,480.510
2024-04-04-10:00:03,480.540
2024-04-04-10:05:04,480.610
2024-04-04-10:10:05,480.610
2024-04-04-10:15:05,480.550
2024-04-04-10:20:06,480.500
2024-04-04-10:25:06,480.340
2024-04-04-10:30:07,480.608
2024-04-04-10:35:08,480.409
2024-04-04-10:40:08,480.470
2024-04-04-10:45:09,480.600
2024-04-04-10:50:09,480.560
2024-04-04-10:55:10,480.410
2024-04-04-11:00:10,480.510
2024-04-04-11:05:11,480.400
2024-04-04-11:10:12,480.308
2024-04-04-11:15:12,480.200
2024-04-04-11:20:13,480.180
2024-04-04-11:25:13,480.340
2024-04-04-11:30:14,480.490
2024-04-04-11:35:15,480.502
2024-04-04-11:40:15,480.570
2024-04-04-11:45:16,480.770
2024-04-04-11:50:16,480.730
2024-04-04-11:55:17,480.890
2024-04-04-12:00:17,480.926
2024-04-04-12:05:18,481.220
2024-04-04-12:10:18,481.405
2024-04-04-12:15:19,481.230
2024-04-04-12:20:19,481.160
2024-04-04-12:25:20,481.140
2024-04-04-12:30:21,481.135
2024-04-04-12:35:21,481.092
2024-04-04-12:40:22,481.200
2024-04-04-12:45:23,481.110
2024-04-04-12:50:23,481.135
2024-04-04-12:55:24,481.245
2024-04-04-13:00:24,481.030
2024-04-04-13:05:25,480.950
2024-04-04-13:10:25,481.050
2024-04-04-13:15:26,481.020
2024-04-04-13:20:26,480.960
2024-04-04-13:25:27,480.920
2024-04-04-13:30:27,480.830
2024-04-04-13:35:28,480.675
2024-04-04-13:40:28,480.640
