2024-07-01-09:30:00,ERROR-1
2024-07-01-09:35:00,73.740
2024-07-01-09:40:01,73.955
2024-07-01-09:45:02,73.580
2024-07-01-09:50:02,72.985
2024-07-01-09:55:03,72.845
2024-07-01-10:00:03,73.360
2024-07-01-10:05:04,73.572
2024-07-01-10:10:05,73.580
2024-07-01-10:15:05,72.420
2024-07-01-10:20:06,73.535
2024-07-01-10:25:06,73.670
2024-07-01-10:30:07,73.800
2024-07-01-10:35:07,73.535
2024-07-01-10:40:08,73.430
2024-07-01-10:45:08,73.530
2024-07-01-10:50:09,73.360
2024-07-01-10:55:09,73.060
2024-07-01-11:00:10,73.413
2024-07-01-11:05:11,73.470
2024-07-01-11:10:11,73.320
2024-07-01-11:15:12,73.855
2024-07-01-11:20:12,73.800
2024-07-01-11:25:13,73.660
2024-07-01-11:30:13,73.880
2024-07-01-11:35:14,73.890
2024-07-01-11:40:14,73.770
2024-07-01-11:45:15,73.790
2024-07-01-11:50:15,73.969
2024-07-01-11:55:16,74.000
2024-07-01-12:00:17,74.180
2024-07-01-12:05:17,74.100
2024-07-01-12:10:18,74.450
2024-07-01-12:15:18,74.601
2024-07-01-12:20:19,74.580
2024-07-01-12:25:19,74.570
2024-07-01-12:30:20,74.625
2024-07-01-12:35:21,74.570
2024-07-01-12:40:21,74.644
2024-07-01-12:45:22,74.715
2024-07-01-12:50:22,74.620
2024-07-01-12:55:23,74.610
2024-07-01-13:00:26,74.589
2024-07-01-13:05:27,74.651
2024-07-01-13:10:28,74.485
2024-07-01-13:15:30,74.640
2024-07-01-13:20:31,74.560
2024-07-01-13:25:33,74.439
2024-07-01-13:30:34,74.485
2024-07-01-13:35:35,74.545
2024-07-01-13:40:35,74.505
2024-07-01-13:45:36,74.635
2024-07-01-13:50:37,74.490
2024-07-01-13:55:37,74.410
2024-07-01-14:00:38,74.370
2024-07-01-14:05:41,74.495
2024-07-01-14:10:41,74.660
2024-07-01-14:15:42,74.920
2024-07-01-14:20:45,74.950
2024-07-01-14:25:45,74.741
2024-07-01-14:30:46,74.460
2024-07-01-14:35:47,74.570
2024-07-01-14:40:48,74.630
2024-07-01-14:45:49,74.635
2024-07-01-14:50:50,74.490
2024-07-01-14:55:51,74.598
2024-07-01-15:00:52,74.630
2024-07-01-15:05:52,74.765
2024-07-01-15:10:53,74.902
2024-07-01-15:15:54,74.875
2024-07-01-15:20:55,74.720
2024-07-01-15:25:56,74.600
2024-07-01-15:30:57,74.560
2024-07-01-15:35:58,74.830
2024-07-01-15:40:59,74.730
2024-07-01-15:45:59,74.610
2024-07-01-15:51:00,74.830
2024-07-01-15:56:01,75.180
2024-07-02-09:30:00,75.030
2024-07-02-09:35:05,74.902
2024-07-02-09:40:08,74.830
2024-07-02-09:45:09,75.270
2024-07-02-09:50:10,75.120
2024-07-02-09:55:15,75.105
2024-07-02-10:00:17,75.170
2024-07-02-10:05:18,75.280
2024-07-02-10:10:19,74.920
2024-07-02-10:15:20,74.973
2024-07-02-10:20:21,75.120
2024-07-02-10:25:22,74.870
2024-07-02-10:30:23,75.270
2024-07-02-10:35:24,75.430
2024-07-02-10:40:25,75.660
2024-07-02-10:45:26,75.220
2024-07-02-10:50:27,75.545
2024-07-02-10:55:28,75.750
2024-07-02-11:00:29,75.720
2024-07-02-11:05:30,75.840
2024-07-02-11:10:31,75.850
2024-07-02-11:15:31,75.780
2024-07-02-11:20:32,75.640
2024-07-02-11:25:33,75.855
2024-07-02-11:30:34,75.995
2024-07-02-11:35:35,75.920
2024-07-02-11:40:36,76.140
2024-07-02-11:45:36,76.023
2024-07-02-11:50:37,75.995
2024-07-02-11:55:38,75.890
2024-07-02-12:00:39,75.470
2024-07-02-12:05:40,75.549
2024-07-02-12:10:41,75.250
2024-07-02-12:15:41,75.370
2024-07-02-12:20:42,75.460
2024-07-02-12:25:43,75.440
2024-07-02-12:30:44,75.660
2024-07-02-12:35:45,75.595
2024-07-02-12:40:46,75.680
2024-07-02-12:45:46,75.690
2024-07-02-12:50:47,75.800
2024-07-02-12:55:48,75.841
2024-07-02-13:00:49,75.910
2024-07-02-13:05:50,76.100
2024-07-02-13:10:50,76.365
2024-07-02-13:15:51,76.485
2024-07-02-13:20:52,76.530
2024-07-02-13:25:53,76.470
2024-07-02-13:30:54,76.375
2024-07-02-13:35:55,76.465
2024-07-02-13:40:56,76.558
2024-07-02-13:45:56,76.525
2024-07-02-13:50:57,76.630
2024-07-02-13:55:58,76.757
2024-07-02-14:00:59,76.795
2024-07-02-14:06:00,76.912
2024-07-02-14:11:00,76.860
2024-07-02-14:16:01,76.860
2024-07-02-14:21:02,76.900
2024-07-02-14:26:03,76.990
2024-07-02-14:31:04,76.965
