2023-09-11-09:30:00,ERROR-1
2023-09-11-09:35:01,41.590
2023-09-11-09:40:01,41.210
2023-09-11-09:45:02,41.200
2023-09-11-09:50:02,41.125
2023-09-11-09:55:03,41.250
2023-09-11-10:00:03,41.021
2023-09-11-10:05:04,41.160
2023-09-11-10:10:04,41.100
2023-09-11-10:15:05,40.878
2023-09-11-10:20:05,40.940
2023-09-11-10:25:06,41.025
2023-09-11-10:30:06,41.075
2023-09-11-10:35:07,40.970
2023-09-11-10:40:08,40.934
2023-09-11-10:45:08,41.075
2023-09-11-10:50:09,41.175
2023-09-11-10:55:09,41.105
2023-09-11-11:00:10,40.990
2023-09-11-11:05:10,40.970
2023-09-11-11:10:11,40.980
2023-09-11-11:15:11,41.050
2023-09-11-11:20:12,41.120
2023-09-11-11:25:13,41.250
2023-09-11-11:30:13,41.241
2023-09-11-11:35:14,41.231
2023-09-11-11:40:14,41.270
2023-09-11-11:45:15,41.109
2023-09-11-11:50:15,41.088
2023-09-11-11:55:16,41.125
2023-09-11-12:00:17,41.086
2023-09-11-12:05:17,41.040
2023-09-11-12:10:18,41.170
2023-09-11-12:15:18,41.190
2023-09-11-12:20:19,41.110
2023-09-11-12:25:20,41.110
2023-09-11-12:30:20,41.285
2023-09-11-12:35:21,41.206
2023-09-11-12:40:21,41.140
2023-09-11-12:45:22,41.190
2023-09-11-12:50:22,41.247
2023-09-11-12:55:23,41.240
2023-09-11-13:00:24,41.288
2023-09-11-13:05:24,41.355
2023-09-11-13:10:25,41.415
2023-09-11-13:15:25,41.395
2023-09-11-13:20:26,41.457
2023-09-11-13:25:26,41.525
2023-09-11-13:30:27,41.629
2023-09-11-13:35:28,41.661
2023-09-11-13:40:28,41.730
2023-09-11-13:45:29,41.690
2023-09-11-13:50:29,41.745
2023-09-11-13:55:30,41.850
2023-09-11-14:00:30,41.875
2023-09-11-14:05:31,41.800
2023-09-11-14:10:32,41.777
2023-09-11-14:15:32,41.915
2023-09-11-14:20:33,41.910
2023-09-11-14:25:33,41.920
2023-09-11-14:30:34,41.930
2023-09-11-14:35:34,41.928
2023-09-11-14:40:35,41.907
2023-09-11-14:45:36,41.860
2023-09-11-14:50:36,41.967
2023-09-11-14:55:37,41.955
2023-09-11-15:00:37,41.900
2023-09-11-15:05:38,41.905
2023-09-11-15:10:38,41.945
2023-09-11-15:15:39,41.865
2023-09-11-15:20:39,41.920
2023-09-11-15:25:40,42.038
2023-09-11-15:30:40,42.040
2023-09-11-15:35:41,42.060
2023-09-11-15:40:41,42.065
2023-09-11-15:45:42,41.990
2023-09-11-15:50:42,41.920
2023-09-11-15:55:43,41.840
2023-09-11-16:00:43,41.880
2023-09-12-09:30:00,41.880
2023-09-12-09:35:00,41.440
2023-09-12-09:40:01,41.518
2023-09-12-09:45:02,41.579
2023-09-12-09:50:02,41.540
2023-09-12-09:55:03,41.670
2023-09-12-10:00:03,41.718
2023-09-12-10:05:04,41.680
2023-09-12-10:10:05,41.630
2023-09-12-10:15:05,41.720
2023-09-12-10:20:06,41.677
2023-09-12-10:25:06,41.420
2023-09-12-10:30:07,41.125
2023-09-12-10:35:07,41.270
2023-09-12-10:40:08,41.140
2023-09-12-10:45:08,41.162
2023-09-12-10:50:09,41.081
2023-09-12-10:55:09,40.930
2023-09-12-11:00:10,40.880
2023-09-12-11:05:10,41.041
2023-09-12-11:10:11,40.765
2023-09-12-11:15:11,40.820
2023-09-12-11:20:12,40.750
2023-09-12-11:25:13,40.786
2023-09-12-11:30:13,40.930
2023-09-12-11:35:14,41.005
2023-09-12-11:40:14,41.000
2023-09-12-11:45:15,40.990
2023-09-12-11:50:15,41.026
2023-09-12-11:55:16,41.030
2023-09-12-12:00:17,40.990
2023-09-12-12:05:17,41.115
2023-09-12-12:10:18,41.090
2023-09-12-12:15:18,41.100
2023-09-12-12:20:19,41.124
2023-09-12-12:25:19,41.100
2023-09-12-12:30:20,41.031
2023-09-12-12:35:21,40.950
2023-09-12-12:40:21,40.960
2023-09-12-12:45:22,41.080
2023-09-12-12:50:22,41.130
2023-09-12-12:55:23,41.005
2023-09-12-13:00:23,40.990
2023-09-12-13:05:24,41.120
2023-09-12-13:10:24,41.020
2023-09-12-13:15:25,41.090
2023-09-12-13:20:25,41.220
2023-09-12-13:25:26,41.394
2023-09-12-13:30:27,41.419
2023-09-12-13:35:27,41.375
2023-09-12-13:40:28,41.311
2023-09-12-13:45:28,41.060
2023-09-12-13:50:29,41.029
2023-09-12-13:55:29,40.900
2023-09-12-14:00:30,40.780
2023-09-12-14:05:31,40.854
2023-09-12-14:10:31,40.869
2023-09-12-14:15:32,40.840
2023-09-12-14:20:32,40.785
2023-09-12-14:25:33,40.795
2023-09-12-14:30:33,40.750
2023-09-12-14:35:34,40.842
2023-09-12-14:40:34,40.794
2023-09-12-14:45:35,40.760
2023-09-12-14:50:35,40.655
2023-09-12-14:55:36,40.560
